County,polyFitResult,a,b,c
PIPESTONE,"(array([-2.30194805e-01,  9.27803421e+02, -9.34801772e+05]), array([345.8993382]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.23019480511325918,927.8034212502519,-934801.7722722307
SIBLEY,"(array([-2.04620380e-01,  8.24595829e+02, -8.30727530e+05]), array([130.09142609]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.2046203795628179,824.5958289391606,-830727.529761906
KITTSON,"(array([-1.90334665e-01,  7.67508317e+02, -7.73688241e+05]), array([50.28856894]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.19033466529378165,767.5083165187506,-773688.2413179126
RENVILLE,"(array([-1.75999001e-01,  7.08305170e+02, -7.12608243e+05]), array([323.06493257]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.17599900098004256,708.3051697538161,-712608.2428052403
WASECA,"(array([-1.53196803e-01,  6.16844306e+02, -6.20879986e+05]), array([53.78190809]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.15319680317833936,616.8443056199527,-620879.9858891816
KANABEC,"(array([-1.35689311e-01,  5.45379146e+02, -5.47928064e+05]), array([332.32900849]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.13568931067965334,545.3791458152297,-547928.0639218335
FILLMORE,"(array([-1.14235764e-01,  4.60992158e+02, -4.65046571e+05]), array([97.27231768]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.11423576424677094,460.9921578863833,-465046.57112334546
LAC QUI PARLE,"(array([-1.04120879e-01,  4.19494730e+02, -4.22469004e+05]), array([75.68121627]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.10412087914301375,419.49473035872813,-422469.00401053816
LYON,"(array([-9.88011988e-02,  3.96654146e+02, -3.98052937e+05]), array([77.99192807]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.09880119878213107,396.65414577738926,-398052.93678589165
TODD,"(array([-8.43156843e-02,  3.38590110e+02, -3.39891575e+05]), array([13.06813187]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.0843156843026957,338.5901098378165,-339891.57507224067
ROSEAU,"(array([-5.83416583e-02,  2.35752547e+02, -2.38099755e+05]), array([227.22624376]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.058341658317483364,235.75254735526352,-238099.75519683392
CHISAGO,"(array([-2.30269730e-02,  9.33172327e+01, -9.45044444e+04]), array([153.86015984]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.023026973004771856,93.31723267790638,-94504.44436569345
SAINT LOUIS,"(array([4.45723825e-06, 8.99024955e-03, 1.81333333e+01]), array([], dtype=float64), 1, array([1.73205081]), 2.220446049250313e-16)",4.457238247659725e-06,0.008990249545529665,18.133333333333336
FREEBORN,"(array([ 1.48851149e-02, -6.10380619e+01,  6.25936075e+04]), array([84.52451548]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.014885114875569016,-61.03806189965168,62593.607453869176
MURRAY,"(array([ 2.16783217e-02, -8.68349651e+01,  8.69891507e+04]), array([70.12328671]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.02167832168229163,-86.83496505092586,86989.15071534285
COTTONWOOD,"(array([ 3.16433567e-02, -1.27412762e+02,  1.28328597e+05]), array([878.87372377]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.031643356669280094,-127.41276234203723,128328.5967831807
WATONWAN,"(array([ 5.39710290e-02, -2.16757967e+02,  2.17677745e+05]), array([220.17024725]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.05397102897019418,-216.75796702958297,217677.7449765904
YELLOW MEDICINE,"(array([ 1.01648352e-01, -4.11437612e+02,  4.16368939e+05]), array([192.0207093]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.10164835161040164,-411.4376122348906,416368.9387574402
STEVENS,"(array([ 2.06868132e-01, -8.32938537e+02,  8.38493106e+05]), array([156.71696052]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.2068681318849037,-832.9385365309106,838493.1061365927
POPE,"(array([ 2.27847153e-01, -9.16409865e+02,  9.21519741e+05]), array([609.90129614]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.22784715293545232,-916.4098654899852,921519.7406917168
ROCK,"(array([ 3.46353646e-01, -1.39404156e+03,  1.40276903e+06]), array([649.91962036]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",0.34635364634518834,-1394.0415584073664,1402769.02563977
